,n_voters,n_cands,n_issues,voters_p,cands_p,app_k,app_thresh,election_rules,n_reps,default_style,delegation_style,best_k,n_delegators,mean,variance,skew,kurtosis
0,100,60,200,0.5,0.5,100,0.5,borda,21,uniform,best_k,1,0,0.6041400000000001,0.0009949104000000002,-0.08504154485712548,0.43470629500504465
1,100,60,200,0.5,0.5,100,0.5,borda,21,uniform,best_k,1,10,0.603695,0.0009457219750000003,-0.04667270269826078,0.8556539699505512
2,100,60,200,0.5,0.5,100,0.5,borda,21,uniform,best_k,1,20,0.60239,0.0010433379000000002,0.1228054348730109,0.5316696737967597
3,100,60,200,0.5,0.5,100,0.5,borda,21,uniform,best_k,1,30,0.6027800000000001,0.0009021716,0.0547979891099802,0.09775091032591154
4,100,60,200,0.5,0.5,100,0.5,borda,21,uniform,best_k,1,40,0.6036950000000001,0.0010738719750000003,0.11470497210372987,0.3924803654323701
5,100,60,200,0.5,0.5,100,0.5,borda,21,uniform,best_k,1,50,0.603425,0.0009598943750000005,-0.3277941208284539,0.423942478559062
6,100,60,200,0.5,0.5,100,0.5,borda,21,uniform,best_k,1,60,0.6053449999999999,0.0008576559750000006,-0.01188791193499926,0.4222521488798794
7,100,60,200,0.5,0.5,100,0.5,borda,21,uniform,best_k,1,70,0.6041850000000001,0.0009724607750000005,-0.27099021829455516,0.16215242741271485
8,100,60,200,0.5,0.5,100,0.5,borda,21,uniform,best_k,1,80,0.604015,0.0010143047750000003,-0.23484588735417783,0.38381408308139964
9,100,60,200,0.5,0.5,100,0.5,borda,21,uniform,best_k,1,90,0.6030350000000001,0.0010260637750000004,-0.412536766614789,0.2930390614414211
10,100,60,200,0.5,0.5,100,0.5,borda,21,uniform,best_k,1,100,0.6037650000000001,0.0009773997750000005,-0.3932091020520512,0.22484850610266882
11,100,60,200,0.5,0.5,100,0.5,borda,21,uniform,best_k,3,0,0.6041400000000001,0.0009949104000000002,-0.08504154485712548,0.43470629500504465
12,100,60,200,0.5,0.5,100,0.5,borda,21,uniform,best_k,3,10,0.6041400000000001,0.0009949104000000002,-0.08504154485712548,0.43470629500504465
13,100,60,200,0.5,0.5,100,0.5,borda,21,uniform,best_k,3,20,0.6041400000000001,0.0009899604000000002,-0.13879864773947573,0.542949351405317
14,100,60,200,0.5,0.5,100,0.5,borda,21,uniform,best_k,3,30,0.604405,0.0010206209750000003,-0.10142648382998574,0.3236747494146006
15,100,60,200,0.5,0.5,100,0.5,borda,21,uniform,best_k,3,40,0.6037,0.0009818600000000002,-0.05540323688541197,0.5161760129784949
16,100,60,200,0.5,0.5,100,0.5,borda,21,uniform,best_k,3,50,0.60436,0.0009759904000000001,-0.0765341997256074,0.4475195268028056
17,100,60,200,0.5,0.5,100,0.5,borda,21,uniform,best_k,3,60,0.604245,0.0009567549750000001,-0.12522526835385347,0.6110287050544283
18,100,60,200,0.5,0.5,100,0.5,borda,21,uniform,best_k,3,70,0.6045750000000001,0.0009857443750000002,-0.1363687262408617,0.884273608636649
19,100,60,200,0.5,0.5,100,0.5,borda,21,uniform,best_k,3,80,0.60486,0.0009956804000000002,-0.12812077456307266,0.4583843776821994
20,100,60,200,0.5,0.5,100,0.5,borda,21,uniform,best_k,3,90,0.604855,0.0010074539750000002,-0.12987861482360422,0.8946064793557205
21,100,60,200,0.5,0.5,100,0.5,borda,21,uniform,best_k,3,100,0.6045849999999999,0.0010244027750000004,-0.17181701575926991,0.6197879872929857
