,n_voters,n_cands,n_issues,voters_p,cands_p,app_k,app_thresh,intensity_dist,election_rules,n_reps,default_style,delegation_style,best_k,n_delegators,intensities,mean,variance,skew,kurtosis
0,100,60,200,None,0.1,100,0.5,uniform,max_approval,21,uniform,incisive,None,None,True,0.4995860000000001,0.052760543603999996,0.03093489674123551,-0.880730720439209
1,100,60,200,None,0.1,100,0.5,uniform,borda,21,uniform,incisive,None,None,True,0.49996949999999996,0.052560191569749996,0.035066349667070076,-0.8822250208605271
2,100,60,200,None,0.1,100,0.5,uniform,plurality,21,uniform,incisive,None,None,True,0.4996005,0.052750642899750004,0.031313956531717105,-0.8810239305556506
3,100,60,200,None,0.1,100,0.5,uniform,rav,21,uniform,incisive,None,None,True,0.49958949999999996,0.05277046398975,0.03003909598372114,-0.8791243308104462
4,100,60,200,None,0.1,100,0.5,uniform,irv,21,uniform,incisive,None,None,True,0.499601,0.052761455799,0.030539664434167196,-0.8798550478691896
5,100,60,200,None,0.1,100,0.5,uniform,max_agreement,21,uniform,incisive,None,None,True,0.49993350000000003,0.052604438077750004,0.03390095811149715,-0.8827182534215186
6,100,60,200,None,0.1,100,0.5,uniform,random_winners,21,uniform,incisive,None,None,True,0.4995375,0.052803278593749996,0.029286689637899935,-0.8781075945021124
7,100,60,200,None,0.2,100,0.5,uniform,max_approval,21,uniform,incisive,None,None,True,0.5177649999999999,0.05404945977500002,0.01399015977630719,-0.9854314453129072
8,100,60,200,None,0.2,100,0.5,uniform,borda,21,uniform,incisive,None,None,True,0.5234495,0.051894438449749995,0.02667327947392419,-0.9723669238117911
9,100,60,200,None,0.2,100,0.5,uniform,plurality,21,uniform,incisive,None,None,True,0.517795,0.054176752975,0.009710674776130144,-0.9793883641029204
10,100,60,200,None,0.2,100,0.5,uniform,rav,21,uniform,incisive,None,None,True,0.5182939999999999,0.053997079564,0.009942893772692514,-0.9780663007733548
11,100,60,200,None,0.2,100,0.5,uniform,irv,21,uniform,incisive,None,None,True,0.517448,0.05431769229600001,0.011689092039750736,-0.986485491818129
12,100,60,200,None,0.2,100,0.5,uniform,max_agreement,21,uniform,incisive,None,None,True,0.5247585,0.051135459177749996,0.0443262592883708,-0.9792482144353838
13,100,60,200,None,0.2,100,0.5,uniform,random_winners,21,uniform,incisive,None,None,True,0.5164215,0.05478919683775,0.0004686758234899839,-0.9747422918485427
14,100,60,200,None,0.3,100,0.5,uniform,max_approval,21,uniform,incisive,None,None,True,0.553715,0.036947938775,0.15298453676948962,-0.8600897379410872
