,n_voters,n_cands,n_issues,voters_p,cands_p,app_k,app_thresh,election_rules,n_reps,default_style,delegation_style,best_k,n_delegators,mean,variance,skew,kurtosis
0,100,30,200,0.5,0.5,100,0.5,max_approval,21,uniform,None,None,None,0.54184,0.0013700643999999993,0.39048906669964345,0.2333191885968593
1,100,30,200,0.5,0.5,100,0.5,borda,21,uniform,None,None,None,0.55101,0.0009655298999999991,-0.17192537457926318,-0.0693481885834224
2,100,30,200,0.5,0.5,100,0.5,plurality,21,uniform,None,None,None,0.520055,0.0011383719750000002,-0.21978799006726446,0.17977296925655883
3,100,30,200,0.5,0.5,100,0.5,rav,21,uniform,None,None,None,0.54017,0.0013902710999999996,0.30030423230918335,-0.08600519856340272
4,100,30,200,0.5,0.5,100,0.5,irv,21,uniform,None,None,None,0.51955,0.0011827475,0.010492684320766667,0.44055768401394246
5,100,30,200,0.5,0.5,100,0.5,max_agreement,21,uniform,None,None,None,0.5494849999999999,0.0008836097749999991,0.29225975667587284,-0.5727765209758218
6,100,30,200,0.5,0.5,100,0.5,random_winners,21,uniform,None,None,None,0.501885,0.0012015217750000007,-0.5904002738387779,1.0391351849175345
7,100,40,200,0.5,0.5,100,0.5,max_approval,21,uniform,None,None,None,0.5672950000000001,0.001185257974999999,-0.1746873268082509,0.10265699170342879
8,100,40,200,0.5,0.5,100,0.5,borda,21,uniform,None,None,None,0.577745,0.0010822399749999992,0.039896896552665755,-0.7015277415157102
9,100,40,200,0.5,0.5,100,0.5,plurality,21,uniform,None,None,None,0.5298999999999999,0.0014831399999999998,-0.19433543065678466,-0.4428177269053126
10,100,40,200,0.5,0.5,100,0.5,rav,21,uniform,None,None,None,0.565365,0.0014046417749999992,0.0267171050838001,0.02771769624995235
11,100,40,200,0.5,0.5,100,0.5,irv,21,uniform,None,None,None,0.5288699999999998,0.0011832231,0.16854377237212742,-0.44447220908384066
12,100,40,200,0.5,0.5,100,0.5,max_agreement,21,uniform,None,None,None,0.5800599999999999,0.0009435463999999996,0.29188252148674615,0.2777819077724506
13,100,40,200,0.5,0.5,100,0.5,random_winners,21,uniform,None,None,None,0.49631000000000003,0.0008199339000000005,-0.5009751363709571,0.22265905925722018
14,100,50,200,0.5,0.5,100,0.5,max_approval,21,uniform,None,None,None,0.571615,0.0011458167749999993,0.10585524450717028,-0.24909313948690137
15,100,50,200,0.5,0.5,100,0.5,borda,21,uniform,None,None,None,0.581985,0.0009505347749999992,0.22980581858443538,-0.06034758089191383
16,100,50,200,0.5,0.5,100,0.5,plurality,21,uniform,None,None,None,0.5333249999999999,0.0012946193749999997,-0.17927652167943217,-0.14611678470784595
17,100,50,200,0.5,0.5,100,0.5,rav,21,uniform,None,None,None,0.57568,0.0010248875999999993,0.3388206893496422,0.29388317862854674
18,100,50,200,0.5,0.5,100,0.5,irv,21,uniform,None,None,None,0.5361549999999999,0.0012164909749999998,-0.12724905850802956,0.029737559310268225
19,100,50,200,0.5,0.5,100,0.5,max_agreement,21,uniform,None,None,None,0.5909849999999999,0.0009923547750000004,0.30471079185815675,0.2400751524334339
20,100,50,200,0.5,0.5,100,0.5,random_winners,21,uniform,None,None,None,0.49766000000000005,0.0014139244000000004,-0.6172278820901064,0.6209407531599322
21,100,60,200,0.5,0.5,100,0.5,max_approval,21,uniform,None,None,None,0.5894849999999999,0.0011305597749999999,-0.003315213013562907,0.260205458562099
22,100,60,200,0.5,0.5,100,0.5,borda,21,uniform,None,None,None,0.6115049999999999,0.001109409975000001,-0.40278644581589756,0.05804278959399278
23,100,60,200,0.5,0.5,100,0.5,plurality,21,uniform,None,None,None,0.5337,0.0012625099999999995,0.007835302918424235,-0.022605413468357316
24,100,60,200,0.5,0.5,100,0.5,rav,21,uniform,None,None,None,0.591515,0.0010186797749999997,0.2961818242908685,0.09786591029863922
25,100,60,200,0.5,0.5,100,0.5,irv,21,uniform,None,None,None,0.544445,0.0010463669749999993,-0.017047160872428857,-0.31201442050799466
26,100,60,200,0.5,0.5,100,0.5,max_agreement,21,uniform,None,None,None,0.60972,0.000888021600000001,0.1850225877344842,-0.4022294660105392
27,100,60,200,0.5,0.5,100,0.5,random_winners,21,uniform,None,None,None,0.4998,0.0012314599999999998,0.42229675572683045,0.23917359685840367
28,100,70,200,0.5,0.5,100,0.5,max_approval,21,uniform,None,None,None,0.5941900000000001,0.0009734939000000003,0.297784819927456,-0.36306654810857175
29,100,70,200,0.5,0.5,100,0.5,borda,21,uniform,None,None,None,0.60829,0.001033225900000001,0.20655884312513165,-0.18566791771595437
30,100,70,200,0.5,0.5,100,0.5,plurality,21,uniform,None,None,None,0.5380750000000001,0.0009075693749999998,-0.48216473462298026,0.23432720614196434
31,100,70,200,0.5,0.5,100,0.5,rav,21,uniform,None,None,None,0.5932199999999999,0.0010136316,0.12350441630702096,-0.8657082398720255
32,100,70,200,0.5,0.5,100,0.5,irv,21,uniform,None,None,None,0.542455,0.0012556979749999992,0.13787793812188417,0.010119714942439462
33,100,70,200,0.5,0.5,100,0.5,max_agreement,21,uniform,None,None,None,0.61381,0.0010246839000000007,-0.047992480353614246,-0.23961739806773874
34,100,70,200,0.5,0.5,100,0.5,random_winners,21,uniform,None,None,None,0.500765,0.0011408897750000001,0.067121440461312,0.5944699277637513
35,100,80,200,0.5,0.5,100,0.5,max_approval,21,uniform,None,None,None,0.5934050000000001,0.0010442809749999999,-0.2555223855394021,-0.21445997627162816
36,100,80,200,0.5,0.5,100,0.5,borda,21,uniform,None,None,None,0.6194400000000001,0.0011819864000000013,0.2525772514964882,-0.4315185209924186
37,100,80,200,0.5,0.5,100,0.5,plurality,21,uniform,None,None,None,0.5335050000000001,0.0012619899749999994,0.016517189891289294,-0.6259412874566359
