,n_voters,n_cands,n_issues,voters_p,cands_p,app_k,app_thresh,election_rules,n_reps,default_style,delegation_style,best_k,n_delegators,mean,variance,skew,kurtosis
0,100,60,200,0.6,0.1,100,0.5,max_approval,21,uniform,None,None,None,0.021150000000000006,0.0001135775,0.30971456783399176,0.1446132457754179
1,100,60,200,0.6,0.1,100,0.5,borda,21,uniform,None,None,None,0.021260000000000005,0.00011551240000000002,0.29429396680238545,0.05762392838209607
2,100,60,200,0.6,0.1,100,0.5,plurality,21,uniform,None,None,None,0.021150000000000006,0.0001135775,0.30971456783399176,0.1446132457754179
3,100,60,200,0.6,0.1,100,0.5,rav,21,uniform,None,None,None,0.021150000000000006,0.0001135775,0.30971456783399176,0.1446132457754179
4,100,60,200,0.6,0.1,100,0.5,irv,21,uniform,None,None,None,0.021150000000000006,0.0001135775,0.30971456783399176,0.1446132457754179
5,100,60,200,0.6,0.1,100,0.5,max_agreement,21,uniform,None,None,None,0.021205000000000005,0.000114822975,0.3068457218622741,0.09588824231886628
6,100,60,200,0.6,0.1,100,0.5,random_winners,21,uniform,None,None,None,0.021205000000000005,0.00011317297500000001,0.29797777318563384,0.1595839506957062
7,100,60,200,0.6,0.2,100,0.5,max_approval,21,uniform,None,None,None,0.023195000000000004,0.00010201697500000001,0.23381802646461694,-0.06950538674278972
8,100,60,200,0.6,0.2,100,0.5,borda,21,uniform,None,None,None,0.024290000000000003,0.00011249590000000001,0.4628181431600822,0.12341244405294338
9,100,60,200,0.6,0.2,100,0.5,plurality,21,uniform,None,None,None,0.023085000000000005,0.000106707775,0.16799994409912863,-0.19524274209695136
10,100,60,200,0.6,0.2,100,0.5,rav,21,uniform,None,None,None,0.023195000000000004,0.00011136697500000001,0.35337478913079035,-0.05614098444740323
11,100,60,200,0.6,0.2,100,0.5,irv,21,uniform,None,None,None,0.023375000000000007,0.00011658437500000001,0.2611709369675989,0.007375001913780821
12,100,60,200,0.6,0.2,100,0.5,max_agreement,21,uniform,None,None,None,0.024390000000000005,0.0001121279,0.4936894242566459,0.21787616553254985
13,100,60,200,0.6,0.2,100,0.5,random_winners,21,uniform,None,None,None,0.022525000000000007,0.000108049375,0.3782280269778177,0.3995552569246503
14,100,60,200,0.6,0.3,100,0.5,max_approval,21,uniform,None,None,None,0.072535,0.000373648775,-0.12419499024039703,-0.2886959342090303
15,100,60,200,0.6,0.3,100,0.5,borda,21,uniform,None,None,None,0.07733499999999999,0.000297722775,-0.18145526450043398,0.16586863128053997
16,100,60,200,0.6,0.3,100,0.5,plurality,21,uniform,None,None,None,0.06382,0.0003342076,-0.15143988592572175,-0.7658861534803454
17,100,60,200,0.6,0.3,100,0.5,rav,21,uniform,None,None,None,0.070075,0.000339819375,0.26418219520586605,0.32552794958986286
18,100,60,200,0.6,0.3,100,0.5,irv,21,uniform,None,None,None,0.06477,0.0003502471,-0.04089611685539342,-0.4056668847349587
19,100,60,200,0.6,0.3,100,0.5,max_agreement,21,uniform,None,None,None,0.07884000000000001,0.0003674544,-0.00038300397765712543,0.10369204424661493
20,100,60,200,0.6,0.3,100,0.5,random_winners,21,uniform,None,None,None,0.04756500000000001,0.00028004577499999997,0.1431889266505656,-0.164256457944973
21,100,60,200,0.6,0.4,100,0.5,max_approval,21,uniform,None,None,None,0.27878,0.0008024115999999998,-0.1479052291549003,0.34186614973715557
22,100,60,200,0.6,0.4,100,0.5,borda,21,uniform,None,None,None,0.28552999999999995,0.0007908191,-0.37033105500488556,0.47134210804249665
23,100,60,200,0.6,0.4,100,0.5,plurality,21,uniform,None,None,None,0.24917,0.0007989611000000002,0.032633988252388224,-0.08667634643505195
24,100,60,200,0.6,0.4,100,0.5,rav,21,uniform,None,None,None,0.2748,0.00084126,0.09342151465866368,-0.23013172817554706
25,100,60,200,0.6,0.4,100,0.5,irv,21,uniform,None,None,None,0.249635,0.000835341775,0.21016707421039327,-0.44472216791310304
26,100,60,200,0.6,0.4,100,0.5,max_agreement,21,uniform,None,None,None,0.28651,0.0008642198999999999,-0.3984730682032661,0.4663595162812242
27,100,60,200,0.6,0.4,100,0.5,random_winners,21,uniform,None,None,None,0.19188,0.0008410656,0.10512712072649115,-0.3960192948259187
28,100,60,200,0.6,0.5,100,0.5,max_approval,21,uniform,None,None,None,0.606905,0.0008230959750000005,-0.398424594870972,-0.28506481236657777
29,100,60,200,0.6,0.5,100,0.5,borda,21,uniform,None,None,None,0.6159349999999999,0.0007617007750000012,-0.0287441492799017,0.19612856816710122
30,100,60,200,0.6,0.5,100,0.5,plurality,21,uniform,None,None,None,0.5725,0.001125999999999999,-0.1266707818613482,0.2586455122583038
31,100,60,200,0.6,0.5,100,0.5,rav,21,uniform,None,None,None,0.607975,0.0009221743750000007,0.04328451193546625,-0.11766715278510498
32,100,60,200,0.6,0.5,100,0.5,irv,21,uniform,None,None,None,0.576995,0.0009430449749999992,0.053489657976333184,-0.1836495422681912
33,100,60,200,0.6,0.5,100,0.5,max_agreement,21,uniform,None,None,None,0.61638,0.0008504456000000011,0.01977849477135507,-0.3369245396254441
34,100,60,200,0.6,0.5,100,0.5,random_winners,21,uniform,None,None,None,0.49763,0.0014561831000000007,-0.021225853754040434,-0.7497755868437541
35,100,60,200,0.6,0.6,100,0.5,max_approval,21,uniform,None,None,None,0.87597,0.0004399091000000008,0.060336239994675314,-0.09261651803769722
36,100,60,200,0.6,0.6,100,0.5,borda,21,uniform,None,None,None,0.880645,0.0003651589750000007,0.020210181107049432,-0.11670719264262219
37,100,60,200,0.6,0.6,100,0.5,plurality,21,uniform,None,None,None,0.85505,0.0006321975000000004,-0.16055176355986525,0.7641731542639865
38,100,60,200,0.6,0.6,100,0.5,rav,21,uniform,None,None,None,0.877085,0.0005229777750000009,0.019300871056183496,-0.32233036590752784
39,100,60,200,0.6,0.6,100,0.5,irv,21,uniform,None,None,None,0.8614700000000001,0.0005466891000000007,-0.1047206271668303,-0.04926926589744207
40,100,60,200,0.6,0.6,100,0.5,max_agreement,21,uniform,None,None,None,0.880105,0.00037511397500000066,-0.09404989817018981,-0.06714986766138109
41,100,60,200,0.6,0.6,100,0.5,random_winners,21,uniform,None,None,None,0.813415,0.0006091627749999991,-0.4106167229226672,0.9065451319660887
42,100,60,200,0.6,0.7,100,0.5,max_approval,21,uniform,None,None,None,0.96328,0.0001781916,-0.3063470442739622,-0.3272404812476042
43,100,60,200,0.6,0.7,100,0.5,borda,21,uniform,None,None,None,0.964935,0.00014992077500000018,-0.15655941426172523,0.26987997305452494
44,100,60,200,0.6,0.7,100,0.5,plurality,21,uniform,None,None,None,0.9612900000000001,0.00016588590000000006,-0.0697969751986737,-0.05351865535629674
45,100,60,200,0.6,0.7,100,0.5,rav,21,uniform,None,None,None,0.9636750000000001,0.0001815193750000001,-0.17664794761927577,-0.478562352566994
46,100,60,200,0.6,0.7,100,0.5,irv,21,uniform,None,None,None,0.962095,0.00015743597500000013,0.019461784202744865,-0.09087792037149534
47,100,60,200,0.6,0.7,100,0.5,max_agreement,21,uniform,None,None,None,0.964995,0.0001579749750000002,0.17526294006004087,0.02947308401055615
48,100,60,200,0.6,0.7,100,0.5,random_winners,21,uniform,None,None,None,0.949265,0.0001798847749999995,0.3092751354352532,-0.32154113779948323
49,100,60,200,0.6,0.8,100,0.5,max_approval,21,uniform,None,None,None,0.97844,9.881640000000016e-05,-0.3224506475816271,-0.23278466290426758
50,100,60,200,0.6,0.8,100,0.5,borda,21,uniform,None,None,None,0.978765,0.00010254977500000018,-0.3553665843374468,-0.30536605037350384
51,100,60,200,0.6,0.8,100,0.5,plurality,21,uniform,None,None,None,0.978385,0.00010331677500000018,-0.2976616642055375,-0.3853100463194843
52,100,60,200,0.6,0.8,100,0.5,rav,21,uniform,None,None,None,0.978385,0.00010221677500000018,-0.33158579503003677,-0.2930413781095824
53,100,60,200,0.6,0.8,100,0.5,irv,21,uniform,None,None,None,0.97846,0.00010167840000000019,-0.3585294220479426,-0.29318426571802503
54,100,60,200,0.6,0.8,100,0.5,max_agreement,21,uniform,None,None,None,0.9786549999999999,0.00010446597500000017,-0.3551187211682433,-0.33030367460080523
55,100,60,200,0.6,0.8,100,0.5,random_winners,21,uniform,None,None,None,0.9779450000000001,0.00010445197500000022,-0.43512193299452734,-0.2194196993865578
56,100,60,200,0.6,0.9,100,0.5,max_approval,21,uniform,None,None,None,0.9775849999999999,9.589277500000018e-05,0.04041727520969712,-0.5938982510971558
57,100,60,200,0.6,0.9,100,0.5,borda,21,uniform,None,None,None,0.9775849999999999,9.589277500000018e-05,0.04041727520969712,-0.5938982510971558
58,100,60,200,0.6,0.9,100,0.5,plurality,21,uniform,None,None,None,0.9775849999999999,9.589277500000018e-05,0.04041727520969712,-0.5938982510971558
59,100,60,200,0.6,0.9,100,0.5,rav,21,uniform,None,None,None,0.9775849999999999,9.589277500000018e-05,0.04041727520969712,-0.5938982510971558
60,100,60,200,0.6,0.9,100,0.5,irv,21,uniform,None,None,None,0.97759,9.574190000000019e-05,0.04265679898908682,-0.5940930793350905
61,100,60,200,0.6,0.9,100,0.5,max_agreement,21,uniform,None,None,None,0.9775849999999999,9.589277500000018e-05,0.04041727520969712,-0.5938982510971558
62,100,60,200,0.6,0.9,100,0.5,random_winners,21,uniform,None,None,None,0.9775849999999999,9.589277500000018e-05,0.04041727520969712,-0.5938982510971558
63,100,60,200,0.6,1,100,0.5,max_approval,21,uniform,None,None,None,0.97696,9.425840000000015e-05,-0.07022972384810842,-0.016314192353895418
64,100,60,200,0.6,1,100,0.5,borda,21,uniform,None,None,None,0.97696,9.425840000000015e-05,-0.07022972384810842,-0.016314192353895418
65,100,60,200,0.6,1,100,0.5,plurality,21,uniform,None,None,None,0.97696,9.425840000000015e-05,-0.07022972384810842,-0.016314192353895418
66,100,60,200,0.6,1,100,0.5,rav,21,uniform,None,None,None,0.97696,9.425840000000015e-05,-0.07022972384810842,-0.016314192353895418
67,100,60,200,0.6,1,100,0.5,irv,21,uniform,None,None,None,0.97696,9.425840000000015e-05,-0.07022972384810842,-0.016314192353895418
68,100,60,200,0.6,1,100,0.5,max_agreement,21,uniform,None,None,None,0.97696,9.425840000000015e-05,-0.07022972384810842,-0.016314192353895418
69,100,60,200,0.6,1,100,0.5,random_winners,21,uniform,None,None,None,0.97696,9.425840000000015e-05,-0.07022972384810842,-0.016314192353895418
