,n_voters,n_cands,n_issues,voters_p,cands_p,app_k,app_thresh,election_rules,n_reps,default_style,delegation_style,best_k,n_delegators,mean,variance,skew,kurtosis
0,100,60,20,0.6,0.6,100,0.5,max_approval,21,uniform,None,None,None,0.9506500000000001,0.0026170774999999995,-0.8886768978136065,0.1677850817073412
1,100,60,20,0.6,0.6,100,0.5,borda,21,uniform,None,None,None,0.9498499999999999,0.0022474774999999996,-0.8457606281823443,0.22488184317238336
2,100,60,20,0.6,0.6,100,0.5,plurality,21,uniform,None,None,None,0.9084,0.0036444399999999997,-0.44739663616995895,-0.011209390265302321
3,100,60,20,0.6,0.6,100,0.5,rav,21,uniform,None,None,None,0.9601999999999998,0.00228596,-1.4731744645337685,2.9144180627242493
4,100,60,20,0.6,0.6,100,0.5,irv,21,uniform,None,None,None,0.9300499999999999,0.003209497499999999,-0.8447448332919503,0.549603696119795
5,100,60,20,0.6,0.6,100,0.5,max_agreement,21,uniform,None,None,None,0.95205,0.0027382975,-1.1181678914520359,0.72099327616383
6,100,60,20,0.6,0.6,100,0.5,random_winners,21,uniform,None,None,None,0.8206999999999998,0.007796509999999999,-0.45253660710534216,0.2220554372282506
7,100,60,40,0.6,0.6,100,0.5,max_approval,21,uniform,None,None,None,0.9249,0.0012837399999999994,-0.19273345367432237,-0.06348308573481676
8,100,60,40,0.6,0.6,100,0.5,borda,21,uniform,None,None,None,0.9270750000000001,0.001287569374999999,-0.11719706081281586,-0.7415830530745371
9,100,60,40,0.6,0.6,100,0.5,plurality,21,uniform,None,None,None,0.889625,0.0027342343749999997,-0.17277445792728313,-0.8675452729253417
10,100,60,40,0.6,0.6,100,0.5,rav,21,uniform,None,None,None,0.93615,0.0011331774999999986,-0.13706570586339378,-0.2373789478487871
11,100,60,40,0.6,0.6,100,0.5,irv,21,uniform,None,None,None,0.90535,0.0019301274999999998,-0.28347711856802027,-0.10095200538724569
12,100,60,40,0.6,0.6,100,0.5,max_agreement,21,uniform,None,None,None,0.92625,0.001269687499999999,-0.2641502530268951,-0.5671165241466065
13,100,60,40,0.6,0.6,100,0.5,random_winners,21,uniform,None,None,None,0.814775,0.004244824375,-0.4175822526889511,0.14256182775091997
14,100,60,60,0.6,0.6,100,0.5,max_approval,21,uniform,None,None,None,0.9083166666666667,0.0014149997222222216,-0.6411154498938366,0.7134237310819747
15,100,60,60,0.6,0.6,100,0.5,borda,21,uniform,None,None,None,0.9155999999999999,0.0011527511111111106,-0.34977424602811774,-0.6325794332273849
16,100,60,60,0.6,0.6,100,0.5,plurality,21,uniform,None,None,None,0.8859,0.0016189677777777773,-0.4011442101949541,-0.2589335469190037
17,100,60,60,0.6,0.6,100,0.5,rav,21,uniform,None,None,None,0.9121,0.0014380344444444438,-0.779863592204611,0.605245495697238
18,100,60,60,0.6,0.6,100,0.5,irv,21,uniform,None,None,None,0.8960333333333333,0.0018731544444444438,-0.561914819832567,0.20572634251469868
19,100,60,60,0.6,0.6,100,0.5,max_agreement,21,uniform,None,None,None,0.9142166666666667,0.0011053863888888882,-0.2369428280713676,-0.41274501094868565
20,100,60,60,0.6,0.6,100,0.5,random_winners,21,uniform,None,None,None,0.8145333333333334,0.001947115555555556,-0.4016615876129419,-0.4873956445967802
21,100,60,80,0.6,0.6,100,0.5,max_approval,21,uniform,None,None,None,0.9034500000000001,0.0009971599999999998,-0.24123495314824558,0.4138208610208114
22,100,60,80,0.6,0.6,100,0.5,borda,21,uniform,None,None,None,0.9044875000000001,0.0010234560937500002,-0.419697511815891,0.22432445224564912
23,100,60,80,0.6,0.6,100,0.5,plurality,21,uniform,None,None,None,0.8726375000000001,0.0014701998437500006,-0.6883382002817228,1.2214429964588103
24,100,60,80,0.6,0.6,100,0.5,rav,21,uniform,None,None,None,0.9047000000000001,0.0009125975,-0.268318212167528,-0.4378045020898833
25,100,60,80,0.6,0.6,100,0.5,irv,21,uniform,None,None,None,0.8816375,0.00122641234375,-0.31906541507438435,0.29595489738745995
26,100,60,80,0.6,0.6,100,0.5,max_agreement,21,uniform,None,None,None,0.9082625000000001,0.0009115748437500001,-0.45011286398257655,0.1479235414239266
27,100,60,80,0.6,0.6,100,0.5,random_winners,21,uniform,None,None,None,0.8108,0.0020067975,-0.2523518242695085,0.15673799977633207
28,100,60,100,0.6,0.6,100,0.5,max_approval,21,uniform,None,None,None,0.89436,0.0007379904000000007,-0.30076449818806034,0.3697105185463001
29,100,60,100,0.6,0.6,100,0.5,borda,21,uniform,None,None,None,0.90014,0.0007997804000000006,-0.4614848348686394,0.3135238363605639
30,100,60,100,0.6,0.6,100,0.5,plurality,21,uniform,None,None,None,0.86837,0.001077043100000001,-0.044245312635624735,-0.362983653665641
31,100,60,100,0.6,0.6,100,0.5,rav,21,uniform,None,None,None,0.8984500000000001,0.0008352975000000005,-0.35114599877267544,0.1430360535202082
