,n_voters,n_cands,n_issues,voters_p,cands_p,app_k,app_thresh,election_rules,n_reps,default_style,delegation_style,best_k,n_delegators,mean,variance,skew,kurtosis
0,100,60,200,0.6,0.6,100,0.5,max_approval,10,uniform,None,None,None,0.8014100000000001,0.000661661899999999,-0.12283542189661859,-0.08151308752412234
1,100,60,200,0.6,0.6,100,0.5,max_approval,20,uniform,None,None,None,0.865585,0.00047548277500000075,-0.16191837010536247,-0.2013259357766799
2,100,60,200,0.6,0.6,100,0.5,max_approval,30,uniform,None,None,None,0.8957950000000001,0.00040849297500000054,-0.01273394638131147,-0.16854220338086234
3,100,60,200,0.6,0.6,100,0.5,max_approval,40,uniform,None,None,None,0.912195,0.00034910697499999986,-0.14178145277197968,0.15854889518649395
4,100,60,200,0.6,0.6,100,0.5,max_approval,50,uniform,None,None,None,0.92073,0.0003443170999999995,-0.09667966115577589,-0.3376013886593259
5,100,60,200,0.6,0.6,100,0.5,max_approval,60,uniform,None,None,None,0.921745,0.00033552997499999946,-0.13654074619548195,0.1678033268152599
6,100,60,200,0.6,0.6,100,0.5,borda,10,uniform,None,None,None,0.8087000000000001,0.0005975599999999989,-0.060077104844151,-0.26190523149676137
7,100,60,200,0.6,0.6,100,0.5,borda,20,uniform,None,None,None,0.86975,0.00045023750000000075,-0.17240344309991684,-0.30747692790390113
8,100,60,200,0.6,0.6,100,0.5,borda,30,uniform,None,None,None,0.8986949999999999,0.0004391719750000005,-0.07888804155679598,-0.20202293544180439
9,100,60,200,0.6,0.6,100,0.5,borda,40,uniform,None,None,None,0.91387,0.0003593731,-0.23585152486647704,0.026938550083843715
10,100,60,200,0.6,0.6,100,0.5,borda,50,uniform,None,None,None,0.92225,0.0003198374999999994,-0.20477255668444388,-0.15173735464422045
11,100,60,200,0.6,0.6,100,0.5,borda,60,uniform,None,None,None,0.922155,0.0003447309749999994,-0.16909652058017588,-0.04852409371034039
12,100,60,200,0.6,0.6,100,0.5,plurality,10,uniform,None,None,None,0.77686,0.0007375404000000004,-0.17834141837278272,-0.15054197070031616
13,100,60,200,0.6,0.6,100,0.5,plurality,20,uniform,None,None,None,0.843975,0.0006323243750000001,0.029753801442246746,-0.14309154662424772
14,100,60,200,0.6,0.6,100,0.5,plurality,30,uniform,None,None,None,0.880045,0.0005291229750000008,-0.11977467762633383,-0.2423438032264018
15,100,60,200,0.6,0.6,100,0.5,plurality,40,uniform,None,None,None,0.898925,0.0004270693750000005,-0.14810026784527397,-0.05474375100456186
16,100,60,200,0.6,0.6,100,0.5,plurality,50,uniform,None,None,None,0.9133799999999999,0.00038737559999999996,-0.12061519212670856,-0.049115420168928114
17,100,60,200,0.6,0.6,100,0.5,plurality,60,uniform,None,None,None,0.9218300000000001,0.00033980109999999953,-0.15943008442175918,-0.11070100363267299
18,100,60,200,0.6,0.6,100,0.5,rav,10,uniform,None,None,None,0.803175,0.0006760943749999991,-0.1346969799655868,0.16121494187608665
19,100,60,200,0.6,0.6,100,0.5,rav,20,uniform,None,None,None,0.866775,0.00048207437500000065,-0.2830089677405073,-0.06636860584614501
20,100,60,200,0.6,0.6,100,0.5,rav,30,uniform,None,None,None,0.8964099999999999,0.0004357119000000006,-0.05551057830177706,-0.37672091245661443
21,100,60,200,0.6,0.6,100,0.5,rav,40,uniform,None,None,None,0.912855,0.00036032397499999997,-0.08583233046227591,-0.20759203134698945
22,100,60,200,0.6,0.6,100,0.5,rav,50,uniform,None,None,None,0.921365,0.00033556177499999946,-0.14776365030672567,-0.16906972855127034
