2023-07-18 22:25:16,348 INFO | main | main | 
2023-07-18 22:25:16,348 INFO | main | main | Starting Experiment RD_cands_p running 1000 iterations
2023-07-18 22:25:16,348 INFO | m05_simulate | sim_parallel | Parallelizing iterations on up to 11 CPUs
2023-07-18 22:34:12,618 INFO | m05_simulate | sim_parallel | Saving agreements data to file using pickle
2023-07-18 22:34:12,618 INFO | m04_save_data | pickle_data | File is open for writing data with mode w+b
2023-07-18 22:34:12,622 INFO | main | main | Experiment data saved to RD_cands_p_data using pickle
2023-07-18 22:34:12,664 INFO | main | main | Moments computed and saved as csv
2023-07-18 22:34:12,671 INFO | m07_plot | plot_two_var | Creating two line plots for experiment RD_cands_p
2023-07-18 22:34:12,874 INFO | m07_plot | plot_two_var | Creating two line plots for experiment RD_cands_p
2023-07-18 22:34:13,092 INFO | main | main | Plots created for mean agreement
2023-07-18 22:34:13,092 INFO | main | main | Total runtime: 536.7442485319989
2023-07-18 22:34:13,092 INFO | main | main | Avg runtime per iteration: 0.5367442485319989
2023-07-18 22:34:13,092 INFO | main | main | 
2023-07-18 22:34:13,092 INFO | main | main | Starting Experiment RD_cands_p_biased running 1000 iterations
2023-07-18 22:34:13,093 INFO | m05_simulate | sim_parallel | Parallelizing iterations on up to 11 CPUs
2023-07-18 22:43:17,641 INFO | m05_simulate | sim_parallel | Saving agreements data to file using pickle
2023-07-18 22:43:17,641 INFO | m04_save_data | pickle_data | File is open for writing data with mode w+b
2023-07-18 22:43:17,645 INFO | main | main | Experiment data saved to RD_cands_p_biased_data using pickle
2023-07-18 22:43:17,694 INFO | main | main | Moments computed and saved as csv
2023-07-18 22:43:17,700 INFO | m07_plot | plot_two_var | Creating two line plots for experiment RD_cands_p_biased
2023-07-18 22:43:17,964 INFO | m07_plot | plot_two_var | Creating two line plots for experiment RD_cands_p_biased
2023-07-18 22:43:18,229 INFO | main | main | Plots created for mean agreement
2023-07-18 22:43:18,229 INFO | main | main | Total runtime: 545.1366473159997
2023-07-18 22:43:18,229 INFO | main | main | Avg runtime per iteration: 0.5451366473159996
2023-07-18 22:43:18,229 INFO | main | main | 
2023-07-18 22:43:18,229 INFO | main | main | Starting Experiment RD_issues running 1000 iterations
2023-07-18 22:43:18,229 INFO | m05_simulate | sim_parallel | Parallelizing iterations on up to 11 CPUs
2023-07-18 22:52:20,821 INFO | m05_simulate | sim_parallel | Saving agreements data to file using pickle
2023-07-18 22:52:20,822 INFO | m04_save_data | pickle_data | File is open for writing data with mode w+b
2023-07-18 22:52:20,826 INFO | main | main | Experiment data saved to RD_issues_data using pickle
2023-07-18 22:52:20,876 INFO | main | main | Moments computed and saved as csv
2023-07-18 22:52:20,882 INFO | m07_plot | plot_two_var | Creating two line plots for experiment RD_issues
2023-07-18 22:52:21,148 INFO | m07_plot | plot_two_var | Creating two line plots for experiment RD_issues
2023-07-18 22:52:21,414 INFO | main | main | Plots created for mean agreement
2023-07-18 22:52:21,414 INFO | main | main | Total runtime: 543.185244403001
2023-07-18 22:52:21,414 INFO | main | main | Avg runtime per iteration: 0.543185244403001
2023-07-18 22:52:21,414 INFO | main | main | 
2023-07-18 22:52:21,415 INFO | main | main | Starting Experiment RD_reps running 1000 iterations
2023-07-18 22:52:21,415 INFO | m05_simulate | sim_parallel | Parallelizing iterations on up to 11 CPUs
2023-07-18 22:58:25,513 INFO | m05_simulate | sim_parallel | Saving agreements data to file using pickle
2023-07-18 22:58:25,513 INFO | m04_save_data | pickle_data | File is open for writing data with mode w+b
2023-07-18 22:58:25,516 INFO | main | main | Experiment data saved to RD_reps_data using pickle
2023-07-18 22:58:25,547 INFO | main | main | Moments computed and saved as csv
2023-07-18 22:58:25,553 INFO | m07_plot | plot_two_var | Creating two line plots for experiment RD_reps
2023-07-18 22:58:25,818 INFO | m07_plot | plot_two_var | Creating two line plots for experiment RD_reps
2023-07-18 22:58:26,053 INFO | main | main | Plots created for mean agreement
2023-07-18 22:58:26,053 INFO | main | main | Total runtime: 364.6386795769995
2023-07-18 22:58:26,053 INFO | main | main | Avg runtime per iteration: 0.36463867957699947
2023-07-18 22:58:26,053 INFO | main | main | 
2023-07-18 22:58:26,053 INFO | main | main | Starting Experiment RD_cands running 1000 iterations
2023-07-18 22:58:26,053 INFO | m05_simulate | sim_parallel | Parallelizing iterations on up to 11 CPUs
2023-07-18 23:06:46,366 INFO | m05_simulate | sim_parallel | Saving agreements data to file using pickle
2023-07-18 23:06:46,366 INFO | m04_save_data | pickle_data | File is open for writing data with mode w+b
2023-07-18 23:06:46,376 INFO | main | main | Experiment data saved to RD_cands_data using pickle
2023-07-18 23:06:46,424 INFO | main | main | Moments computed and saved as csv
2023-07-18 23:06:46,429 INFO | m07_plot | plot_two_var | Creating two line plots for experiment RD_cands
2023-07-18 23:06:46,670 INFO | m07_plot | plot_two_var | Creating two line plots for experiment RD_cands
2023-07-18 23:06:46,932 INFO | main | main | Plots created for mean agreement
2023-07-18 23:06:46,932 INFO | main | main | Total runtime: 500.8790489109997
2023-07-18 23:06:46,933 INFO | main | main | Avg runtime per iteration: 0.5008790489109997
2023-07-18 23:06:46,933 INFO | main | main | 
